System,Iteration,NoiseType,NoiseLevel,Miner,Precision,LogFitness,Generalization,Simplicity
Sepsis,n/a,n/a,0.0,alpha,0.4426422388436003,0.26588961197193384,0.9131789227698267,0.4782608695652174
Sepsis,n/a,n/a,0.0,heuristic,0.7044386711624564,0.8967715521747265,0.8415396609710745,0.4331983805668016
Sepsis,n/a,n/a,0.0,inductive,0.25762075419340746,1.0,0.9024534736155712,0.6223776223776223
Sepsis,1,a,0.5,alpha,0.4426422388436003,0.26580237311696064,0.9131665734950918,0.4782608695652174
Sepsis,1,a,0.5,heuristic,0.7044059925921831,0.8967595380797586,0.8307275089995865,0.432
Sepsis,1,a,0.5,inductive,0.2524571587151083,1.0,0.8847967369912917,0.6164383561643836
Sepsis,1,a,1.0,alpha,0.4428775287501049,0.2656814990957592,0.9131609974786515,0.4782608695652174
Sepsis,1,a,1.0,heuristic,0.7047002159109783,0.8967405562140256,0.84231963705397,0.4331983805668016
Sepsis,1,a,1.0,inductive,0.248047706943064,1.0,0.8590472496436645,0.605095541401274
Sepsis,1,a,1.5,alpha,0.44265458511620104,0.2657076108970976,0.9131541247768269,0.4782608695652174
Sepsis,1,a,1.5,heuristic,0.659836446426912,0.9091574004874861,0.8334478850855015,0.4330708661417323
Sepsis,1,a,1.5,inductive,0.2484837460992343,1.0,0.872295601598009,0.605095541401274
Sepsis,1,a,2.0,alpha,0.44202047323376403,0.2657124153042273,0.9131212259535865,0.4782608695652174
Sepsis,1,a,2.0,heuristic,0.6604238312110791,0.9091479746333435,0.8296472054157303,0.4330708661417323
Sepsis,1,a,2.0,inductive,0.2486597539182991,1.0,0.8816055371224519,0.605095541401274
Sepsis,1,i,0.5,alpha,0.1786997010559821,0.20148832389818977,0.32547214089002685,1.0
Sepsis,1,i,0.5,heuristic,0.5471645589755826,0.9029114874580604,0.5796709671829409,0.47462686567164175
Sepsis,1,i,0.5,inductive,0.13585222038594102,0.9999821686489185,0.6531400011778259,0.6351351351351352
Sepsis,1,i,1.0,alpha,0.12373908333897499,0.20270054305922536,0.27708525344450485,1.0
Sepsis,1,i,1.0,heuristic,0.5115241361507541,0.896365069556234,0.5123951459722387,0.4824797843665768
Sepsis,1,i,1.0,inductive,0.17265207623855905,0.9973247937990837,0.6075146166284382,0.6862745098039215
